first_name,last_name,gender,age,nationality,hard_skills,soft_skills,teamwork,creativity,class
Michel,Tchinda,Male,22,Cameroonian,0.02,3.51,4.98,1.67,3B88
Skander,Mejri,Male,36,Tunisian,3.18,0.02,4.52,2.65,3B88
Ousmane,Ba,Male,24,Senegalese,2.71,3.69,0.29,1.65,3B88
Mourad,Zouari,Male,25,Tunisian,1.78,1.15,0.85,2.21,3B88
Hatem,Zouari,Male,19,Tunisian,3.44,4.07,2.3,1.63,3B88
Haythem,Jebali,Male,24,Tunisian,2.81,0.97,1.89,4.21,3B88
Salma,Sassi,Female,21,Tunisian,0.11,1.89,2.49,2.1,3B88
Sanaa,Mansouri,Female,25,Moroccan,4.85,4.23,0.47,0.75,3B88
Ismail,Maaloul,Male,21,Tunisian,2.8,0.22,1.88,2.86,3B88
Fares,Baccouche,Male,20,Tunisian,4.36,4.81,1.65,4.4,3B88
Lina,Saidi,Female,20,Tunisian,3.2,0.68,2.36,2.22,3B88
Amine,Zouari,Male,23,Tunisian,1.44,4.03,4.95,3.78,3B88
Salma,Saidi,Female,25,Tunisian,0.36,0.5,1.43,4.16,3B88
Anis,Ammar,Male,24,Tunisian,4.69,3.68,4.61,0.8,3B88
Sami,Makni,Male,20,Tunisian,2.98,1.23,0.68,4.87,3B88
Sami,Trabelsi,Male,20,Tunisian,0.03,4.14,1.06,0.4,3B88
Rim,Haddad,Female,23,Tunisian,4.94,3.85,3.81,3.64,3B88
Amina,Jlassi,Female,21,Tunisian,1.49,2.82,0.69,2.58,3B88
Amel,Mansour,Female,24,Tunisian,3.3,0.62,0.71,1.66,3B88
Ahmed,Ghanouchi,Male,44,Tunisian,3.07,4.66,1.64,0.07,3B88
Fatma,Saidi,Female,24,Tunisian,4.74,1.64,2.9,1.42,3B88
Lina,Mejri,Female,24,Tunisian,0.27,0.95,3.6,4.45,3B88
Rania,Jaziri,Female,19,Tunisian,3.33,4.43,0.29,3.21,3B88
Yasmine,Ben Ali,Female,25,Tunisian,1.84,3.45,2.97,1.31,3B88
Youssef,Belkhir,Male,18,Tunisian,0.74,0.28,0.18,1.76,3B88
Farah,Belkhir,Female,24,Tunisian,4.16,2.62,1.36,3.3,3B88
Mehdi,Sassi,Male,18,Tunisian,0.88,4.22,4.47,2.27,3B88
Zied,Chebbi,Male,25,Tunisian,2.52,3.63,4.57,2.3,3B88
Hatem,Ben Salah,Male,22,Tunisian,0.63,1.65,0.52,3.63,3B88
Hedi,Ayari,Male,23,Tunisian,3.93,4.88,0.03,2.25,3B88
Rania,Rekik,Female,25,Tunisian,0.99,3.93,4.5,3.89,1A15
Hend,Guettari,Female,24,Tunisian,4.83,2.64,1.35,0.36,1A15
Yasmine,Zayani,Female,18,Tunisian,0.12,3.7,3.65,1.57,1A15
Samira,Belkhir,Female,19,Tunisian,0.32,2.82,2.59,0.78,1A15
Haythem,Sassi,Male,23,Tunisian,4.4,0.03,1.17,2.24,1A15
Lotfi,Zayani,Male,24,Tunisian,1.66,3.06,1.79,2.79,1A15
Lotfi,Abidi,Male,19,Tunisian,2.28,3.96,3.46,0.87,1A15
Amel,Slimani,Female,25,Tunisian,4.28,2.59,2.18,1.45,1A15
Aymen,Mansour,Male,18,Tunisian,1.65,3.2,0.94,1.21,1A15
Sonia,Saidi,Female,23,Tunisian,0.74,2.54,0.87,2.96,1A15
Hela,Nasri,Female,25,Tunisian,4.21,1.16,4.59,3.68,1A15
Fatima,Rahmani,Female,29,Algerian,3.27,1.41,4.03,2.42,1A15
Khadija,Saidi,Female,19,Moroccan,0.13,2.55,2.8,3.39,1A15
Sonia,Sassi,Female,25,Tunisian,2.14,3.35,3.89,3.78,1A15
Amel,Baccouche,Female,23,Tunisian,4.91,4.4,2.09,3.62,1A15
Rami,Chebbi,Male,21,Tunisian,3.43,1.26,2.88,2.73,1A15
Yasmine,Jlassi,Female,22,Tunisian,3.18,4.05,2.73,1.19,1A15
Hedi,Hamdi,Male,21,Tunisian,2.25,3.63,0.28,1.08,1A15
Brahim,Saidi,Male,20,Algerian,2.58,0.79,4.63,1.36,1A15
Mehdi,Makni,Male,19,Tunisian,3.13,4.96,1.26,3.39,1A15
Ousmane,Bamba,Male,24,Ivorian,3.01,1.29,0.71,0.77,1A15
Salma,Ben Ali,Female,23,Tunisian,0.75,1.92,2.49,4.91,1A15
Siwar,Jebali,Female,18,Tunisian,3.83,0.38,1.72,0.25,1A15
Amel,Cherif,Female,20,Tunisian,1.23,3.39,2.73,0.14,1A15
Amel,Chebbi,Female,20,Tunisian,1.15,1.89,1.33,0.58,1A15
Mouna,Ben Salah,Female,20,Tunisian,4.98,0.26,1.07,2.92,1A15
Naima,Saidi,Female,24,Algerian,2.2,3.89,2.51,1.73,1A15
Yasmine,Gharbi,Female,22,Tunisian,1.55,1.54,1.31,2.79,1A15
Marwen,Zouari,Male,18,Tunisian,0.88,1.85,4.15,4.78,4SAE42
Jean,Bouba,Male,19,Cameroonian,4.27,1.46,4.61,0.09,4SAE42
Youssef,Fourati,Male,22,Tunisian,4.26,2.56,2.16,1.27,4SAE42
Chaima,Ben Ali,Female,22,Tunisian,0.08,0.53,1.01,3.7,4SAE42
Sabrine,Gharbi,Female,22,Tunisian,4.05,3.34,3.87,2.13,4SAE42
Walid,Bouazizi,Male,20,Tunisian,1.99,1.53,2.53,2.98,4SAE42
Aymen,Lahmar,Male,24,Tunisian,1.49,1.25,1.0,1.41,4SAE42
Hichem,Mejri,Male,23,Tunisian,3.24,3.76,0.2,3.9,4SAE42
Oumaima,Rekik,Female,39,Tunisian,2.51,3.73,2.52,0.77,4SAE42
Hamza,Baccouche,Male,20,Tunisian,0.03,3.13,3.76,3.63,4SAE42
Chaima,Mejri,Female,19,Tunisian,0.39,3.92,0.5,2.57,4SAE42
Samira,Nasri,Female,24,Tunisian,0.37,0.74,4.43,1.85,4SAE42
Zied,Bouazizi,Male,19,Tunisian,1.75,1.58,3.1,0.53,4SAE42
Nizar,Bouazizi,Male,22,Tunisian,3.78,3.18,3.81,3.47,4SAE42
Mouna,Ghanouchi,Female,23,Tunisian,3.19,1.66,0.67,4.54,4SAE42
Lotfi,Ammar,Male,23,Tunisian,3.02,3.81,1.57,1.24,4SAE42
Anis,Khlifi,Male,24,Tunisian,2.18,2.23,1.23,3.69,4SAE42
Marie,Oumarou,Female,18,Cameroonian,3.86,4.67,3.84,1.46,4SAE42
Foued,Toumi,Male,24,Tunisian,4.24,0.0,0.59,3.24,4SAE42
Omar,Bouazizi,Male,22,Tunisian,2.65,0.26,4.09,1.32,4SAE42
Ines,Hamdi,Female,21,Tunisian,0.36,2.48,3.07,2.16,4SAE42
Rim,Chouchene,Female,24,Tunisian,3.5,4.63,0.05,4.5,4SAE42
Rania,Mabrouk,Female,45,Tunisian,1.34,4.64,4.72,1.25,4SAE42
Youssef,Slimani,Male,24,Tunisian,2.71,2.5,2.16,0.23,4SAE42
Khadija,Rekik,Female,19,Tunisian,1.79,2.18,4.29,0.65,4SAE42
Oussama,Haddad,Male,36,Tunisian,1.63,2.41,1.71,3.51,4SAE42
Haythem,Jaziri,Male,23,Tunisian,0.5,0.96,4.02,2.04,2P44
Juliette,Abanda,Female,18,Cameroonian,2.31,1.32,4.69,3.11,2P44
