first_name,last_name,class,hard_skills,soft_skills,teamwork,creativity,total_score
Aymen,Maaloul,2A40,2.82,5.0,4.82,3.68,4.08
Wassim,Khemiri,5SAE2,3.81,0.31,2.51,1.31,1.99
Yasmine,Chouchene,4INFINI5,2.54,3.33,2.48,4.14,3.12
Samira,Khlifi,5GAMIX1,4.27,1.25,2.69,0.65,2.21
Haythem,Khlifi,5SIM3,4.95,0.98,2.49,0.75,2.29
Wided,Cherif,4GAMIX1,2.92,4.98,4.86,3.43,4.05
Rania,Chouchene,5TWIN2,3.09,2.3,1.61,4.82,2.95
Hamza,Belkhir,4NIDS3,1.27,2.59,2.88,5.0,2.93
Siwar,Miled,5BI2,1.92,4.98,4.9,3.36,3.79
Manel,Sassi,4ARCTIC5,1.96,3.85,4.03,2.25,3.02
Zaineb,Turki,4INFINI5,2.52,4.76,3.66,4.22,3.79
Emna,Driss,4SAE2,3.54,4.03,4.86,2.99,3.86
Samira,Cherif,5BI2,2.69,5.0,5.0,2.35,3.76
Rami,Fourati,5SE2,2.88,5.0,4.86,3.69,4.11
Marwen,Mansour,4GAMIX1,5.0,3.63,3.57,3.64,3.96
Eya,Sassi,4ARCTIC5,5.0,2.94,3.26,5.0,4.05
Eya,Rekik,5NIDS3,2.8,4.84,5.0,5.0,4.41
Ghassen,Driss,5INFINI5,2.39,5.0,4.71,4.26,4.09
Amina,Lahmar,3IA,1.7,5.0,4.8,2.74,3.56
Khadija,Khemiri,5ARCTIC5,2.75,1.95,1.33,4.62,2.66
Emna,Miled,5GAMIX1,2.3,5.0,5.0,2.51,3.7
Tarek,Ben Ali,5IOSYS1,3.87,4.05,4.74,4.8,4.36
Sarra,Jaziri,5SLEAM2,3.0,2.41,2.2,3.73,2.83
Farah,Belkhir,5NIDS3,3.73,4.21,3.94,3.94,3.96
Rania,Chebbi,5SE2,0.92,2.75,1.74,5.0,2.6
Siwar,Zouari,5TWIN2,1.55,2.32,2.97,5.0,2.96
Amine,Kanzari,4DS5,2.39,4.77,5.0,2.72,3.72
Hatem,Saidi,5NIDS3,4.21,3.03,2.19,4.84,3.57
Eya,Fourati,5SLEAM2,1.96,2.16,1.0,5.0,2.53
Adel,Baccouche,4BI2,2.4,5.0,5.0,3.85,4.06
Khadija,Hamdi,5IOSYS1,5.0,0.31,1.13,1.85,2.07
Mehdi,Haddad,5IOSYS1,2.23,4.47,5.0,4.25,3.99
Mourad,Sassi,5TWIN2,2.25,5.0,4.93,3.23,3.85
Hend,Khemiri,5NIDS3,4.51,3.42,4.36,4.52,4.2
Hela,Baccouche,5NIDS3,2.01,3.03,2.66,5.0,3.18
Fares,Chouchene,4IOSYS1,4.4,1.38,0.95,1.35,2.02
Sofiene,Chebbi,4SAE2,2.96,4.12,4.28,3.81,3.79
Rim,Lahmar,5BI2,4.15,0.65,1.32,0.0,1.53
Wided,Chaabane,4INFINI5,4.54,3.08,2.86,3.93,3.6
Wided,Khemiri,5INFINI5,5.0,1.42,1.95,1.35,2.43
Zied,Haddad,3IA,1.34,1.94,2.96,4.83,2.77
Emna,Zayani,5ARCTIC5,5.0,0.71,1.88,0.48,2.02
Wassim,Mansour,5DS5,3.25,4.43,5.0,3.33,4.0
Ghada,Ben Ali,5GAMIX1,4.28,2.95,3.93,3.18,3.59
Walid,Rekik,4TWIN2,2.4,2.79,1.34,5.0,2.88
Farah,Mansour,4SE2,5.0,2.47,3.68,3.26,3.6
Wided,Ayari,4INFINI5,2.92,3.91,4.41,5.0,4.06
Lobna,Miled,2A40,1.84,3.49,0.65,4.32,2.57
Olfa,Chaabane,4TWIN2,0.53,1.24,3.69,4.51,2.49
Cyrine,Gharbi,5INFINI5,5.0,3.41,3.08,3.79,3.82
Mehdi,Ben Ali,1A20,0.84,3.24,1.34,3.54,2.24
Leila,Mansour,1A20,2.86,1.83,2.21,5.0,2.98
Leila,Makni,2A40,4.95,1.69,1.88,1.03,2.39
Zaineb,Belkhir,5TWIN2,2.75,4.39,4.42,2.33,3.47
Sofiene,Chaabane,2P1,4.73,2.48,1.91,0.69,2.45
Ali,Karoui,4NIDS3,2.49,4.35,5.0,3.6,3.86
Mariem,Mansour,5SIM3,5.0,0.29,1.1,1.65,2.01
Sonia,Mejri,5DS5,3.82,5.0,5.0,3.19,4.25
Ahmed,Ammar,4IOSYS1,4.0,0.68,0.6,1.13,1.6
Cyrine,Saidi,5SAE2,4.51,2.62,4.09,3.79,3.76
Sabrine,Ghanouchi,3IA,2.57,1.67,2.86,4.87,2.99
Salma,Guettari,5GAMIX1,4.17,4.19,5.0,2.36,3.93
Meriem,Chaabane,5DS5,1.61,5.0,4.91,2.85,3.59
Foued,Trabelsi,4DS5,2.57,5.0,3.74,5.0,4.08
Sabrine,Sassi,1A20,2.72,5.0,4.5,3.77,4.0
Ali,Nasri,4IOSYS1,4.07,3.56,3.53,4.37,3.88
Khadija,Zayani,5SE2,5.0,3.44,3.85,4.8,4.27
Mouna,Khlifi,5INFINI5,4.12,3.35,3.8,4.29,3.89
Iheb,Baccouche,5INFINI5,4.15,3.53,3.55,4.67,3.97
Foued,Ben Amor,3A22,3.18,3.96,4.41,3.71,3.82
Mouna,Ben Ali,5SLEAM2,2.44,3.24,2.69,5.0,3.34
Mouna,Ben Salah,5IOSYS1,3.74,3.6,0.49,3.73,2.89
Sonia,Kanzari,4ARCTIC5,5.0,2.37,3.36,3.1,3.46
Emna,Ghanouchi,4ARCTIC5,3.97,3.74,2.82,4.33,3.71
Oumaima,Gharbi,1A20,4.3,5.0,3.65,5.0,4.49
Siwar,Toumi,2A40,2.16,4.74,4.9,2.15,3.49
Cyrine,Fourati,4TWIN2,5.0,2.06,2.22,1.81,2.77
Ahmed,Jaziri,4ARCTIC5,0.89,1.15,1.04,5.0,2.02
Nadia,Jaziri,1A20,1.02,2.88,2.43,4.33,2.66
Dorra,Ghanouchi,5BI2,1.84,3.37,1.11,5.0,2.83
Ghassen,Chouchene,5ARCTIC5,1.86,5.0,4.34,3.22,3.61
Foued,Guettari,3B10,3.13,5.0,4.91,2.2,3.81
Samira,Driss,5GAMIX1,5.0,3.02,3.1,3.17,3.57
Hend,Toumi,4GAMIX1,1.91,3.88,4.57,2.93,3.32
Foued,Jaziri,3IA,2.45,5.0,5.0,2.32,3.69
Hiba,Ayari,3A22,1.58,1.62,3.23,5.0,2.86
Dorra,Mejri,4SAE2,5.0,1.89,2.63,0.68,2.55
Chokri,Zouari,5SE2,2.72,5.0,3.35,5.0,4.02
Nour,Jebali,4SE2,2.68,2.0,1.93,5.0,2.9
Iheb,Lahmar,3B10,4.7,2.88,3.33,3.89,3.7
Mourad,Khlifi,3IA,4.33,3.81,3.07,4.05,3.82
Foued,Sassi,5DS5,5.0,2.97,3.77,3.87,3.9
Hiba,Belkhir,5SE2,2.2,4.93,2.9,4.6,3.66
Ahmed,Lahmar,5DS5,2.88,3.87,5.0,4.47,4.06
Samira,Ammar,5DS5,1.99,5.0,5.0,2.48,3.62
Bechir,Kanzari,5GAMIX1,2.0,5.0,4.72,3.09,3.7
Salma,Chaabane,4TWIN2,1.07,3.6,1.62,5.0,2.82
Nadia,Mejri,5GAMIX1,1.53,3.13,1.91,5.0,2.89
Emna,Chaabane,2P1,5.0,1.16,1.19,0.32,1.92
Fares,Miled,5IOSYS1,4.53,1.78,3.62,4.54,3.62
Wassim,Khlifi,4SE2,2.28,5.0,4.65,3.28,3.8
Mariem,Abidi,5BI2,3.39,4.08,3.74,5.0,4.05
Omar,Chouchene,4SAE2,3.05,4.13,5.0,2.39,3.64
Nadia,Miled,1A20,3.47,4.89,4.68,2.82,3.96
Lina,Gharbi,4DS5,0.95,1.3,2.73,5.0,2.5
Chokri,Bouazizi,4GAMIX1,3.14,0.18,1.77,5.0,2.52
Yasmine,Ben Salah,5TWIN2,4.13,1.48,2.59,0.0,2.05
Sarra,Ben Salah,4DS5,1.81,0.83,1.73,4.58,2.24
Mehdi,Ben Salah,4IOSYS1,5.0,2.51,4.56,3.97,4.01
Haythem,Chouchene,2A40,3.18,5.0,4.84,2.67,3.92
Omar,Baccouche,4IOSYS1,3.81,4.95,4.62,3.04,4.11
Chaima,Saidi,5IOSYS1,3.46,4.73,3.48,2.94,3.65
Siwar,Jaziri,1A20,2.39,3.74,1.99,5.0,3.28
Salma,Fourati,4ARCTIC5,1.88,5.0,3.62,4.12,3.66
Zied,Cherif,4IOSYS1,1.3,4.41,4.68,4.61,3.75
Ismail,Belkhir,4SIM3,4.7,2.54,2.58,1.9,2.93
Marwen,Chebbi,5SAE2,3.01,3.62,4.41,4.88,3.98
Amina,Slimani,5SLEAM2,5.0,3.31,3.13,4.74,4.05
Nizar,Lahmar,4SLEAM2,1.59,4.86,5.0,3.0,3.61
Rania,Jaziri,3B10,3.07,4.21,3.44,4.64,3.84
Hend,Khlifi,5IOSYS1,4.47,0.4,2.07,0.0,1.73
Ahmed,Karoui,4ARCTIC5,2.99,4.41,5.0,3.62,4.01
Hichem,Jebali,5ARCTIC5,5.0,1.37,2.48,1.31,2.54
Khadija,Sassi,4SE2,5.0,1.51,3.49,3.43,3.36
Skander,Jebali,3IA,2.57,2.44,2.87,3.48,2.84
Adel,Chebbi,4SIM3,4.54,2.7,3.46,4.35,3.76
Amina,Chebbi,4SAE2,4.43,3.33,3.14,4.47,3.84
Amine,Abidi,4SIM3,5.0,4.06,3.45,4.38,4.22
Lina,Chouchene,4ARCTIC5,2.94,2.82,3.6,4.13,3.37
Asma,Abidi,5TWIN2,5.0,3.51,2.37,4.07,3.74
Hichem,Turki,5SIM3,3.39,4.69,5.0,3.16,4.06
Farah,Ben Ali,4INFINI5,2.89,5.0,3.71,4.0,3.9
Ahmed,Saidi,4ARCTIC5,4.98,2.11,2.51,0.39,2.5
Rim,Ben Salah,4IOSYS1,5.0,1.27,2.02,0.53,2.2
Omar,Maaloul,4INFINI5,0.94,1.9,0.69,4.31,1.96
Lotfi,Ferjani,2P1,3.81,1.32,3.12,1.31,2.39
Haythem,Baccouche,4SE2,4.51,2.22,3.0,4.86,3.65
Manel,Rekik,4SAE2,5.0,1.29,1.94,0.0,2.06
Ismail,Chouchene,5ARCTIC5,2.25,4.42,4.51,2.57,3.44
Sabrine,Mansour,4IOSYS1,2.96,2.44,3.99,5.0,3.6
Nizar,Rekik,1A20,4.43,2.19,2.45,1.48,2.64
Mohamed,Abidi,4DS5,5.0,3.35,2.1,4.14,3.65
Mohamed,Miled,4TWIN2,5.0,1.22,0.44,1.08,1.93
