first_name,last_name,hard_skills,soft_skills,teamwork,creativity,class
Rym,Mansour,0.62,1.09,4.96,3.15,5NIDS35
Mohamed,Jaziri,2.31,1.03,1.52,1.8,5GAMIX57
Wassim,Khlifi,1.45,1.85,1.84,3.7,3A69
Asma,Karoui,0.32,0.23,4.68,3.45,5TWIN2
Adel,Saidi,4.36,4.41,4.32,1.18,5TWIN27
Oussama,Jaziri,2.47,3.86,2.38,4.7,1A39
Oumaima,Zouari,3.03,4.0,2.33,0.51,5SAE33
Lotfi,Bouazizi,0.31,1.72,0.9,2.61,1A92
Lina,Hamdi,4.79,1.45,0.14,3.55,5SLEAM19
Adel,Nasri,1.92,1.4,0.99,0.36,1A77
Khalil,Zayani,3.32,2.46,0.36,0.62,4GAMIX39
Mehdi,Mabrouk,3.08,2.12,0.88,0.43,3A88
Lina,Turki,2.12,3.28,0.18,2.52,2A4
Hela,Jlassi,2.73,0.64,3.68,3.26,3A75
Lobna,Karoui,2.99,1.62,1.57,1.98,2A99
Rym,Fourati,1.56,0.13,2.28,4.92,2A6
Chokri,Bouazizi,1.04,2.59,2.74,0.51,5SAE59
Manel,Ben Ali,1.17,1.69,0.11,4.2,2A99
Ali,Fourati,0.43,2.99,3.06,2.19,3B23
Fatma,Makni,4.49,2.61,3.02,2.79,4NIDS26
Omar,Trabelsi,1.6,2.72,0.54,0.66,3A70
Wafa,Saidi,1.49,1.47,1.95,3.59,2P30
Omar,Cherif,0.22,4.46,0.97,4.35,3B85
Leila,Abidi,3.65,3.52,0.07,1.02,1A23
Sofiene,Sassi,3.93,2.97,1.64,0.3,5SIM56
Zied,Toumi,3.62,1.86,4.67,1.58,1A64
Leila,Makni,3.89,1.32,1.97,3.43,1A23
Hamza,Ayari,2.37,1.62,4.06,2.43,1A43
Mariem,Makni,1.16,0.47,3.36,0.83,5SLEAM43
Zaineb,Ferjani,4.36,0.95,2.71,2.12,5SE100
Ghada,Zayani,1.87,4.2,4.28,1.93,5TWIN27
Oumaima,Ammar,1.82,0.34,3.65,3.82,4ARCTIC87
Nizar,Chouchene,4.8,1.67,0.97,2.22,5TWIN79
Hedi,Ayari,3.12,3.95,1.93,0.69,2P99
Foued,Toumi,3.36,3.31,3.86,4.6,1A85
Sabrine,Nasri,4.18,3.78,1.9,3.83,3B60
Ali,Hamdi,4.19,4.87,2.61,2.32,3B67
Nadia,Hamdi,4.84,2.76,2.23,2.14,2A89
Omar,Karoui,3.24,4.59,0.33,1.26,3B60
Nizar,Belkhir,0.92,2.43,0.51,1.42,1A18
Rania,Belkhir,0.68,1.33,0.75,3.01,1A10
Sami,Guettari,3.16,4.13,2.83,4.12,2A49
Ines,Gharbi,4.89,4.22,1.91,4.38,1A18
Hichem,Abidi,1.4,3.46,3.58,0.98,3A97
Ahmed,Zouari,2.79,0.09,2.77,1.53,2P19
Yasmine,Bouazizi,0.36,3.83,2.82,2.39,2A35
Asma,Cherif,3.52,0.88,4.69,3.62,1A55
Nabil,Turki,4.49,0.38,1.74,4.07,5GAMIX79
Bilel,Khlifi,4.86,2.62,0.31,4.17,1A48
Nour,Haddad,0.71,3.55,0.36,1.43,3A19
Cyrine,Rekik,2.99,4.47,4.07,2.09,5GAMIX57
Nabil,Miled,2.98,1.43,1.36,1.43,2A77
Hend,Lahmar,2.56,1.82,3.49,2.43,3A97
Iheb,Mejri,3.23,4.74,1.71,4.29,2P99
