first_name,last_name,class,hard_skills,soft_skills,teamwork,creativity,total_score
Ines,Karoui,5SE2,2.29,2.77,2.42,4.23,2.93
Wassim,Ben Ali,4BI2,5.0,3.55,3.87,4.37,4.2
Mohamed,Fourati,5NIDS3,5.0,2.28,0.84,1.49,2.4
Sami,Chebbi,4ARCTIC5,2.43,2.4,2.61,5.0,3.11
Ines,Bouazizi,5BI2,1.85,5.0,4.74,3.63,3.81
Omar,Nasri,5IOSYS1,4.44,1.1,1.82,0.42,1.95
Sarra,Nasri,3A22,5.0,2.87,3.51,4.65,4.01
Haythem,Ben Salah,5SAE2,4.4,3.05,3.69,3.56,3.68
Hamza,Guettari,4ARCTIC5,4.89,1.23,2.09,1.06,2.32
Fares,Karoui,4GAMIX1,2.77,4.01,3.91,5.0,3.92
Mehdi,Jebali,4SLEAM2,3.92,5.0,4.19,2.24,3.84
Dorra,Ammar,3IA,2.43,3.09,1.91,4.12,2.89
Hamza,Haddad,5SLEAM2,3.79,4.8,5.0,4.92,4.63
Farah,Khlifi,5SE2,1.59,3.57,3.02,5.0,3.3
Farah,Chebbi,5ARCTIC5,2.84,5.0,5.0,1.59,3.61
Ismail,Chebbi,5SIM3,2.34,5.0,5.0,2.68,3.75
Bechir,Ayari,4ARCTIC5,4.52,3.89,5.0,4.8,4.55
Foued,Zouari,5IOSYS1,2.09,3.03,3.63,5.0,3.44
Emna,Ammar,4DS5,4.53,1.46,2.51,0.08,2.14
Hamza,Driss,3B10,5.0,0.41,1.56,1.23,2.05
Amine,Ben Salah,4ARCTIC5,4.91,2.83,2.94,3.89,3.64
Leila,Makni,4DS5,4.78,2.24,3.86,4.38,3.81
Sonia,Sassi,3IA,1.21,2.49,1.94,4.61,2.56
Ali,Turki,1A20,5.0,1.06,0.89,1.52,2.12
Khalil,Bouazizi,5INFINI5,4.41,2.56,2.44,5.0,3.6
Zied,Fourati,4INFINI5,5.0,3.51,3.52,5.0,4.26
Tarek,Karoui,1A20,5.0,2.99,2.28,3.95,3.56
Ismail,Ayari,4DS5,1.59,4.4,5.0,3.03,3.5
Hichem,Baccouche,4SIM3,3.5,5.0,4.49,2.97,3.99
Sabrine,Ben Salah,5ARCTIC5,2.66,2.46,2.65,5.0,3.19
Sarra,Rekik,2A40,4.53,2.07,3.0,0.24,2.46
Haythem,Hamdi,2A40,4.25,1.89,1.8,1.33,2.32
Khadija,Bouazizi,4SE2,2.98,4.56,3.67,4.18,3.85
Foued,Mejri,4INFINI5,2.03,4.07,4.95,4.04,3.77
Tarek,Haddad,3A22,5.0,3.7,4.14,5.0,4.46
Sarra,Ferjani,4IOSYS1,2.42,5.0,4.99,2.98,3.85
Nabil,Jebali,5INFINI5,3.81,5.0,5.0,3.16,4.24
Aymen,Hamdi,4SAE2,5.0,2.14,2.37,4.0,3.38
Wided,Baccouche,3A22,4.08,4.33,4.5,4.73,4.41
Manel,Jebali,3A22,3.24,4.2,4.23,5.0,4.17
Ghassen,Sassi,4NIDS3,2.77,4.45,3.98,5.0,4.05
