first_name,last_name,gender,age,nationality,hard_skills,soft_skills,teamwork,creativity,class,overall_skill,skill_variance,dominant_skill,weakest_skill,norm_hard_skills,norm_soft_skills,norm_teamwork,norm_creativity,cluster,dbscan_cluster,group_id
Asma,Mabrouk,Female,20,Tunisian,3.62,4.9,4.93,4.77,3B11,4.555,0.3933666666666666,teamwork,hard_skills,0.7240000000000001,0.9800000000000001,0.986,0.9559118236472944,2,0,0
Hicham,Regragui,Male,19,Moroccan,4.81,3.84,4.5,4.96,2P81,4.5275,0.24675833333333333,creativity,soft_skills,0.962,0.768,0.9,0.9939879759519037,2,0,0
Hassan,Bennani,Male,18,Moroccan,4.84,4.79,4.98,3.35,1A22,4.49,0.5840666666666667,teamwork,creativity,0.968,0.9580000000000001,0.9960000000000001,0.6713426853707414,2,0,0
Dorra,Cherif,Female,20,Tunisian,4.61,4.79,4.05,4.5,3B16,4.4875,0.09935833333333342,soft_skills,teamwork,0.9220000000000002,0.9580000000000001,0.81,0.9018036072144288,2,0,0
Mariem,Guettari,Female,23,Tunisian,4.54,4.73,3.41,4.84,5NIDS51,4.38,0.4335333333333333,creativity,teamwork,0.908,0.9460000000000002,0.682,0.9699398797595189,2,0,1
Salma,Turki,Female,19,Tunisian,3.82,4.79,4.54,4.36,3B88,4.3774999999999995,0.16922500000000007,soft_skills,hard_skills,0.764,0.9580000000000001,0.908,0.87374749498998,2,0,1
Anis,Cherif,Male,20,Tunisian,4.39,4.96,4.54,3.52,4TWIN15,4.3525,0.366225,soft_skills,creativity,0.878,0.992,0.908,0.7054108216432865,2,0,1
Rami,Cherif,Male,22,Tunisian,4.07,4.91,3.52,4.93,3A66,4.3575,0.4723583333333332,creativity,teamwork,0.8140000000000001,0.9820000000000001,0.7040000000000001,0.9879759519038075,2,0,1
Akissi,Konan,Female,20,Ivorian,3.77,4.97,4.4,4.08,1A100,4.305,0.2626999999999999,soft_skills,hard_skills,0.754,0.994,0.8800000000000001,0.8176352705410821,2,0,2
Mouna,Gharbi,Female,23,Tunisian,4.75,3.19,4.58,4.54,5BI71,4.265,0.5219000000000001,hard_skills,soft_skills,0.9500000000000001,0.638,0.916,0.909819639278557,2,0,2
Rym,Jlassi,Female,20,Tunisian,4.98,4.77,4.95,2.35,1A32,4.2625,1.634225,hard_skills,creativity,0.9960000000000001,0.954,0.9900000000000001,0.47094188376753504,2,0,2
Nour,Ayari,Female,18,Tunisian,4.32,4.31,3.65,4.72,2A58,4.25,0.19646666666666665,creativity,teamwork,0.8640000000000001,0.862,0.73,0.9458917835671341,2,0,2
