first_name,last_name,gender,age,nationality,hard_skills,soft_skills,teamwork,creativity,class
Susan,Boyd,Male,22,Tunisian,1.76,1.96,1.79,4.19,2C55
Cory,Rodriguez,Female,42,Algerian,1.13,2.22,2.82,0.41,1A100
Mark,Gutierrez,Female,45,Moroccan,4.23,3.15,1.8,2.62,2C55
Kyle,Ross,Female,36,Algerian,4.79,1.12,4.68,1.23,4D20
Leah,Hooper,Male,29,Tunisian,2.09,0.41,0.99,3.28,4D20
Cassie,Orozco,Female,43,Moroccan,2.65,4.1,0.29,3.74,4D20
Andrea,Brown,Male,43,Egyptian,2.13,0.59,0.69,2.26,1A100
Joshua,Long,Male,40,Senegalese,3.6,2.25,2.42,2.83,4D20
Danny,Johnson,Female,35,Cameroonian,1.89,1.96,1.66,4.4,4D20
Jessica,Whitaker,Male,44,Egyptian,2.82,0.29,2.18,0.94,4D20
Kendra,Brooks,Male,33,Libyan,3.02,4.73,1.08,1.37,3B88
David,Johnson,Male,22,Malian,1.54,0.06,0.64,1.2,1A100
Gail,Ortiz,Female,22,Senegalese,1.25,2.42,1.61,0.81,2C55
Matthew,Miller,Male,36,Tunisian,3.93,3.61,1.57,2.72,2C55
Jacqueline,Rangel,Female,25,Cameroonian,3.04,3.63,3.39,3.88,2C55
James,Jensen,Male,33,Moroccan,0.71,1.95,2.92,4.82,1A100
Kathryn,Vazquez,Female,41,Tunisian,0.76,1.3,1.3,0.08,1A100
Jacqueline,Stephens,Male,29,Malian,3.84,2.49,2.45,1.75,4D20
Carol,Thomas,Female,35,Senegalese,2.83,0.27,4.09,0.09,3B88
Lisa,Williams,Female,21,Libyan,3.96,1.85,4.84,4.47,3B88
Jose,Hale,Female,44,Egyptian,3.06,3.29,0.46,3.95,3B88
Bradley,Coleman,Female,36,Egyptian,0.72,4.34,0.73,4.61,1A100
Jessica,Carter,Male,28,Senegalese,4.9,3.92,0.1,2.02,1A100
Daniel,Carr,Female,29,Senegalese,2.26,3.79,0.71,2.36,2C55
Pamela,Ramirez,Female,20,Tunisian,0.42,4.5,3.64,2.61,3B88
Joshua,Banks,Female,19,Malian,1.33,3.2,0.04,2.61,3B88
Lisa,Lam,Male,41,Senegalese,0.0,1.71,1.63,1.13,1A100
Valerie,Spence,Female,20,Tunisian,0.73,2.99,4.94,2.06,1A100
Robert,Thomas,Female,33,Algerian,2.92,0.4,3.5,2.02,2C55
Justin,Jackson,Female,34,Senegalese,2.33,3.86,3.34,1.4,1A100
Michael,Cuevas,Female,45,Tunisian,4.81,3.51,2.61,1.38,1A100
Gary,Gonzales,Female,19,Algerian,4.62,0.97,3.11,4.98,3B88
