first_name,last_name,gender,age,nationality,hard_skills,soft_skills,teamwork,creativity,class
Michel,Tchinda,Male,22,Cameroonian,0.02,3.51,4.98,1.67,3B88
Skander,Mejri,Male,36,Tunisian,3.18,0.02,4.52,2.65,3B88
Ousmane,Ba,Male,24,Senegalese,2.71,3.69,0.29,1.65,3B88
Mourad,Zouari,Male,25,Tunisian,1.78,1.15,0.85,2.21,3B88
Hatem,Zouari,Male,19,Tunisian,3.44,4.07,2.3,1.63,3B88
Haythem,Jebali,Male,24,Tunisian,2.81,0.97,1.89,4.21,3B88
Salma,Sassi,Female,21,Tunisian,0.11,1.89,2.49,2.1,3B88
Sanaa,Mansouri,Female,25,Moroccan,4.85,4.23,0.47,0.75,3B88
Ismail,Maaloul,Male,21,Tunisian,2.8,0.22,1.88,2.86,3B88
Fares,Baccouche,Male,20,Tunisian,4.36,4.81,1.65,4.4,3B88
Lina,Saidi,Female,20,Tunisian,3.2,0.68,2.36,2.22,3B88
Amine,Zouari,Male,23,Tunisian,1.44,4.03,4.95,3.78,3B88
Salma,Saidi,Female,25,Tunisian,0.36,0.5,1.43,4.16,3B88
Anis,Ammar,Male,24,Tunisian,4.69,3.68,4.61,0.8,3B88
Sami,Makni,Male,20,Tunisian,2.98,1.23,0.68,4.87,3B88
Sami,Trabelsi,Male,20,Tunisian,0.03,4.14,1.06,0.4,3B88
Rim,Haddad,Female,23,Tunisian,4.94,3.85,3.81,3.64,3B88
Amina,Jlassi,Female,21,Tunisian,1.49,2.82,0.69,2.58,3B88
Amel,Mansour,Female,24,Tunisian,3.3,0.62,0.71,1.66,3B88
Ahmed,Ghanouchi,Male,44,Tunisian,3.07,4.66,1.64,0.07,3B88
Fatma,Saidi,Female,24,Tunisian,4.74,1.64,2.9,1.42,3B88
Lina,Mejri,Female,24,Tunisian,0.27,0.95,3.6,4.45,3B88
Rania,Jaziri,Female,19,Tunisian,3.33,4.43,0.29,3.21,3B88
Yasmine,Ben Ali,Female,25,Tunisian,1.84,3.45,2.97,1.31,3B88
Youssef,Belkhir,Male,18,Tunisian,0.74,0.28,0.18,1.76,3B88
Farah,Belkhir,Female,24,Tunisian,4.16,2.62,1.36,3.3,3B88
Mehdi,Sassi,Male,18,Tunisian,0.88,4.22,4.47,2.27,3B88
Zied,Chebbi,Male,25,Tunisian,2.52,3.63,4.57,2.3,3B88
Hatem,Ben Salah,Male,22,Tunisian,0.63,1.65,0.52,3.63,3B88
Hedi,Ayari,Male,23,Tunisian,3.93,4.88,0.03,2.25,3B88
Yasmine,Fourati,Female,23,Tunisian,4.32,1.26,1.96,0.3,3B88
Rania,Chebbi,Female,21,Tunisian,4.61,2.57,0.62,0.85,3B88
Wided,Chouchene,Female,25,Tunisian,2.35,3.2,0.92,4.99,3B88
Lobna,Slimani,Female,22,Tunisian,0.23,2.36,2.55,2.41,3B88
Ines,Belkhir,Female,36,Tunisian,4.11,2.32,1.41,2.7,3B88
Meriem,Ben Salah,Female,23,Tunisian,3.26,1.06,0.61,3.8,3B88
Amel,Fourati,Female,22,Tunisian,0.82,2.08,3.92,0.01,3B88
Hichem,Slimani,Male,20,Tunisian,2.35,1.15,4.28,4.83,3B88
Ghada,Fourati,Female,32,Tunisian,2.48,3.38,4.83,1.1,3B88
Nour,Nasri,Female,24,Tunisian,0.95,0.21,2.78,4.99,3B88
Siwar,Ghanouchi,Female,21,Tunisian,0.23,4.34,2.19,0.69,3B88
Fethi,Nasri,Male,20,Tunisian,4.69,0.38,3.49,3.3,3B88
Marwen,Mejri,Male,18,Tunisian,3.79,3.58,3.68,2.13,3B88
Walid,Hamdi,Male,23,Tunisian,3.91,1.76,4.9,3.06,3B88
Hend,Ayari,Female,18,Tunisian,4.11,1.63,3.79,3.21,3B88
Chokri,Karoui,Male,18,Tunisian,0.24,0.81,4.27,0.89,3B88
Fethi,Chouchene,Male,28,Tunisian,3.77,4.79,4.14,2.19,3B88
Rami,Guettari,Male,21,Tunisian,4.22,3.47,4.35,3.36,3B88
Zied,Hamdi,Male,23,Tunisian,2.33,1.02,4.31,2.0,3B88
Salma,Turki,Female,19,Tunisian,3.82,4.79,4.54,4.36,3B88
Khadija,Hassan,Female,24,Libyan,2.27,2.28,3.48,3.43,3B88
Siwar,Bouazizi,Female,23,Tunisian,0.65,0.61,3.6,2.97,3B88
Rania,Saidi,Female,21,Tunisian,1.67,4.08,2.26,4.79,3B88
Yasmine,Hamdi,Female,20,Tunisian,1.92,3.34,2.53,3.83,3B88
Zied,Cherif,Male,21,Tunisian,3.57,2.38,2.59,1.84,3B88
Anis,Turki,Male,23,Tunisian,4.79,4.45,0.26,1.65,3B88
Zied,Karoui,Male,23,Tunisian,1.76,1.38,0.52,1.93,3B88
Mehdi,Jebali,Male,25,Tunisian,1.3,2.56,1.39,2.45,3B88
