Name,Class,Hard Skills,Soft Skills,Creativity,Teamwork
Alice Wilson,2,4.07,4.29,2.93,3.48
Quinn Lopez,1,3.56,4.99,1.89,2.96
Jamal Brown,1,1.77,3.12,4.75,4.66
Clara Kacem,1,4.25,3.84,4.09,2.57
Omar Jouini,4,4.77,3.7,2.38,1.8
Paul Smith,2,4.65,3.21,3.09,3.06
Rania Johnson,1,4.18,1.51,2.55,1.97
Maya Johnson,1,4.46,3.56,3.86,4.6
Maya Kacem,3,2.28,2.38,3.53,3.98
Maya Martinez,3,4.95,1.94,3.03,3.45
Eva Thomas,1,4.29,1.65,1.5,1.87
Bob Miller,2,3.59,2.75,2.16,4.47
Jamal Jouini,4,3.89,1.65,3.92,4.67
Rania Miller,4,4.06,3.34,3.86,1.68
Leo Thomas,2,4.73,1.62,2.36,4.14
Grace Brown,2,4.6,1.75,3.62,2.68
Tariq Smith,2,2.38,1.72,1.86,2.72
Tariq Lopez,2,4.93,2.4,4.81,2.35
Rania Lopez,4,3.95,4.12,2.53,1.65
Rania Wilson,4,3.28,2.82,4.21,2.71
Clara Martinez,1,3.07,3.81,3.05,1.63
Omar Jouini,1,2.39,4.99,2.89,1.58
Leo Johnson,2,3.08,4.59,2.75,3.98
Nabil Garcia,4,2.71,3.16,4.11,3.87
Daniel Cherif,1,3.23,1.54,4.14,4.34
Ines Jones,1,2.35,2.68,3.62,1.57
Quinn Taylor,3,1.65,2.24,2.09,2.64
Tariq Anderson,3,4.73,1.78,4.58,3.07
Paul Miller,4,3.7,4.26,2.44,2.77
Jamal Ali,2,4.15,2.84,3.02,3.86
Omar Ben Ali,4,4.94,2.6,4.86,2.54
Nabil Johnson,4,4.65,4.79,2.46,2.88
Nabil Thomas,1,4.84,2.66,2.67,3.66
Jamal Lopez,3,1.78,3.16,2.83,4.19
Jamal Johnson,4,1.92,1.52,2.89,2.55
Clara Kacem,3,3.85,1.68,3.41,3.12
Eva Hernandez,1,2.62,3.9,3.55,1.91
Maya Garcia,4,4.75,1.73,3.57,4.0
Rania Ali,2,1.83,4.88,2.59,4.7
Paul Smith,1,2.71,2.95,2.16,2.82
Nabil Wilson,4,1.87,1.57,3.99,1.63
Tariq Taylor,1,3.16,4.99,2.16,4.65
Eva Davis,1,4.34,4.27,2.89,3.63
Eva Lopez,4,4.36,4.8,2.33,2.75
Paul Anderson,2,1.6,2.9,2.21,3.96
Grace Ali,3,4.18,1.63,3.92,3.2
Hassan Jouini,3,3.79,2.38,3.93,1.62
Clara Cherif,2,4.7,3.67,1.57,4.66
Grace Jouini,2,3.84,2.37,3.91,3.68
Daniel Thomas,1,4.41,2.05,4.0,3.3
Daniel Jouini,4,1.88,3.17,2.07,1.55
Leo Garcia,1,1.61,2.03,2.89,4.66
Maya Anderson,3,2.85,4.49,2.43,1.96
Bob Ben Ali,3,2.73,3.01,2.02,1.63
Daniel Wilson,3,2.69,2.41,3.74,3.47
Daniel Brown,3,2.31,4.19,2.68,3.26
Maya Lopez,3,3.35,2.65,4.72,3.06
Omar Wilson,2,2.04,3.02,3.36,1.77
Rania Brown,1,4.02,4.31,3.51,2.16
Khadija Lopez,1,2.55,2.21,3.07,3.26
Omar Anderson,3,2.86,3.39,1.84,4.16
Tariq Anderson,1,3.34,4.29,4.15,2.45
Jamal Jones,4,1.83,3.7,3.8,4.19
Paul Jones,2,3.38,4.73,2.52,2.14
Omar Brown,2,3.48,2.14,3.82,1.52
Clara Johnson,2,3.14,2.9,3.63,4.56
Alice Ben Ali,3,3.25,3.09,2.53,4.07
Leo Hernandez,2,2.98,3.34,4.37,2.64
Rania Thomas,3,3.45,4.79,2.43,4.79
Nabil Kacem,1,1.76,2.89,2.71,1.55
Rania Anderson,4,3.47,2.33,2.15,3.23
Hassan Davis,4,4.04,2.06,3.02,1.73
Bob Thomas,3,2.94,3.7,1.94,2.44
Bob Garcia,3,4.19,2.54,1.83,2.36
Jamal Martinez,3,3.26,2.55,1.88,2.51
Faris Hernandez,1,2.74,2.48,2.91,2.81
Sara Davis,2,4.77,3.09,3.52,4.0
Clara Jouini,2,3.25,3.88,3.95,4.1
Alice Cherif,3,2.28,3.46,3.34,2.75
Bob Smith,1,4.76,4.86,1.77,4.44
Ines Anderson,4,3.74,2.71,1.61,4.88
Paul Martinez,1,2.44,3.15,2.18,3.32
